Latitude	Longitude	Elevation	Station_Name	State	bt0510	tmin	Frost50	Freeze50	t01	t02	t03	t04	t05	t06	t07	t08	t09	t10	t11	t12	tl01	tl02	tl03	tl04	tl05	tl06	tl07	tl08	tl09	tl10	tl11	tl12
43.6253	-72.9781	189	RUTLAND	VT	15.4675925925926	-12.633	137	160	-7.5	-6.25	-0.805555555555555	6.69444444444444	13.0277777777778	17.8888888888889	20.2777777777778	19.1666666666667	14.3611111111111	8.08333333333333	2.52777777777778	-3.94444444444445	-13.3888888888889	-12.5555555555556	-7.05555555555556	0.111111111111113	6.16666666666667	11.3333333333333	13.7777777777778	12.8888888888889	7.94444444444444	1.77777777777778	-2.83333333333333	-9.05555555555556
38.8417	-104.9742	2758.4	RUXTON PARK	CO	10.25	-12.328	56	95	-5.05555555555556	-4.55555555555556	-1.55555555555556	2.11111111111111	7.08333333333333	11.9444444444444	14.4722222222222	13.4722222222222	9.83333333333333	4.69444444444445	-1.02777777777778	-4.94444444444444	-12.6666666666667	-12.1111111111111	-8.77777777777778	-5	-0.388888888888889	4	6.44444444444444	5.77777777777778	1.94444444444444	-3	-8.55555555555556	-12.5
40.4661	-118.3047	1260.3	RYE PATCH DAM	NV	17.3101851851852	-8.572	108	140	-1.02777777777778	2.19444444444445	5.88888888888889	9.13888888888889	13.8333333333333	18.6388888888889	22.8611111111111	21.5833333333333	16.6666666666667	10.2777777777778	3.91666666666667	-0.944444444444444	-8.11111111111111	-5.61111111111111	-3.27777777777778	-0.722222222222223	3.5	7.38888888888889	10.5	9.05555555555555	4.66666666666667	-0.88888888888889	-4.88888888888889	-8.33333333333333
46.5333	-109.3442	1353.3	RYEGATE 18 NNW	MT	14.0092592592593	-10.476	103	130	-4.38888888888889	-2.97222222222222	0.861111111111109	5.5	10.5555555555556	15.2222222222222	19.4166666666667	19.0555555555556	13.1111111111111	6.69444444444444	2.77777777777762E-02	-4.75	-11.3333333333333	-10.2777777777778	-6.61111111111111	-2.27777777777778	2.88888888888889	7.61111111111111	10.8333333333333	10.0555555555556	4.33333333333333	-1.66666666666667	-7.22222222222222	-11.4444444444444
42.4194	-94.9761	368.8	SAC CITY	IA	17.3657407407407	-12.9073333333333	158	183	-8.19444444444444	-5.63888888888889	0.972222222222222	8.27777777777778	14.6944444444444	20.1666666666667	22.4722222222222	21.1111111111111	16.3055555555556	9.44444444444444	1.19444444444444	-6.25	-13.6111111111111	-11.3333333333333	-5.05555555555556	1.16666666666667	7.72222222222222	13.5	16.1111111111111	14.6666666666667	9.11111111111111	2.44444444444444	-4.61111111111111	-11.2777777777778
33.0722	-111.7661	396.2	SACATON	AZ	27.9259259259259	2.29233333333333	264	311	11.1111111111111	13.3611111111111	16.25	20.4722222222222	25.3888888888889	30.3055555555556	33.1388888888889	32.1944444444444	29.1666666666667	23	15.6944444444444	10.7222222222222	2.27777777777778	4.33333333333333	6.22222222222222	10.2222222222222	15.0555555555556	20.0555555555556	24.6666666666667	23.8888888888889	19.8333333333333	13.3888888888889	6.16666666666667	2.05555555555556
48.4661	-107.3528	666	SACO 1 NNW	MT	15.0972222222222	-16.803	121	140	-10.2222222222222	-7.13888888888889	-0.36111111111111	6.91666666666667	12.6388888888889	17.3611111111111	20.8611111111111	19.9444444444444	13.3055555555556	6.47222222222222	-1.77777777777778	-8.83333333333333	-17.5555555555556	-14.3888888888889	-7.88888888888889	-1.66666666666667	4.61111111111111	10.1111111111111	12.7222222222222	11.4444444444444	4.55555555555556	-2.05555555555555	-9.11111111111111	-16.0555555555556
41.8667	-111	1892.8	SAGE 4 NNW	WY	11.8796296296296	-19.305	38	68	-10.8888888888889	-8.91666666666667	-1.58333333333333	4.25	8.88888888888889	13.5833333333333	17.1944444444444	16.0277777777778	10.75	4.83333333333333	-2.80555555555556	-10.0833333333333	-18.7222222222222	-16.9444444444444	-9.16666666666667	-4.5	-0.499999999999999	3.27777777777778	5.72222222222222	3.94444444444445	-1.16666666666667	-5.94444444444444	-11.0555555555556	-17.8888888888889
39.4317	-120.2406	1931.5	SAGEHEN CREEK	CA	10.8611111111111	-10.7186666666667	16	40	-2.94444444444444	-1.80555555555556	0.972222222222222	3.61111111111111	7.66666666666667	11.3611111111111	14.6666666666667	14.2222222222222	10.9722222222222	6.27777777777778	0.861111111111109	-3.11111111111111	-10.2777777777778	-9.05555555555556	-6.77777777777778	-4.44444444444444	-1.33333333333333	0.999999999999998	2.94444444444444	2.5	-0.222222222222221	-3.27777777777778	-6.55555555555556	-9.77777777777778
38.0858	-106.1444	2347.3	SAGUACHE	CO	13.5462962962963	-13.9133333333333	98	127	-6.63888888888889	-3.5	1.86111111111111	5.80555555555556	10.6666666666667	15.2777777777778	17.9722222222222	17	13.1111111111111	7.25	0.36111111111111	-5.88888888888889	-14.2777777777778	-10.8888888888889	-5.33333333333333	-2.33333333333333	2.44444444444444	6.72222222222222	9.83333333333333	9.27777777777778	4.77777777777778	-0.944444444444444	-7.22222222222222	-13.2777777777778
