path	name	Latin Name	Common Name
tree_atlas_dd83/h-k/junihori.shp	junihori	Juniperus horizontalis	creeping juniper
tree_atlas_dd83/h-k/junimono.shp	junimono	Juniperus monosperma	one seed juniper
tree_atlas_dd83/h-k/juniocci.shp	juniocci	Juniperus occidentalis	western juniper
tree_atlas_dd83/h-k/junioste.shp	junioste	Juniperus osteosperma	Utah juniper
tree_atlas_dd83/h-k/junipinc.shp	junipinc	Juniperus pinchotii	Pinchot juniper
tree_atlas_dd83/h-k/juniscop.shp	juniscop	Juniperus scopulorum	Rocky Mountain juniper
tree_atlas_dd83/h-k/junisili.shp	junisili	Juniperus silicicola	southern redcedar
tree_atlas_dd83/h-k/junivirg.shp	junivirg	Juniperus virginiana	eastern redcedar
tree_atlas_dd83/h-k/kalmlati.shp	kalmlati	Kalmia latifolia	mountain laurel
tree_atlas_dd83/h-k/koebspin.shp	koebspin	Koeberlinia spinosa	allthorn
tree_atlas_dd83/h-k/krugferr.shp	krugferr	Krugiodendron ferreum	leadwood
tree_atlas_dd83/l-o/lagurace.shp	lagurace	Laguncularia racemosa	white mangrove
tree_atlas_dd83/l-o/larilari.shp	larilari	Larix laricina	tamarack
tree_atlas_dd83/l-o/larilyal.shp	larilyal	Larix lyallii	subalpine larch
tree_atlas_dd83/l-o/lariocci.shp	lariocci	Larix occidentalis	western larch
tree_atlas_dd83/l-o/larrdiva.shp	larrdiva	Larrea divaricata	creosote bush
tree_atlas_dd83/l-o/leitflor.shp	leitflor	Leitneria floridana	corkwood
tree_atlas_dd83/l-o/leucpulv.shp	leucpulv	Leucaena pulverulenta	great leadtree
tree_atlas_dd83/l-o/leucretu.shp	leucretu	Leucaena retusa	littleleaf leadtree
tree_atlas_dd83/l-o/libodecu.shp	libodecu	Calocedrus decurrens	incense cedar
tree_atlas_dd83/l-o/licatria.shp	licatria	Licaria triandra	Florida licaria
tree_atlas_dd83/l-o/liqustyr.shp	liqustyr	Liquidambar styraciflua	sweetgum
tree_atlas_dd83/l-o/lirituli.shp	lirituli	Liriodendron tulipifera	yellow poplar
tree_atlas_dd83/l-o/lithdens.shp	lithdens	Notholithocarpus densiflorus	tanoak
tree_atlas_dd83/l-o/lyonferr.shp	lyonferr	Lyonia ferruginea	tree lyonia
tree_atlas_dd83/l-o/lyonflor.shp	lyonflor	Lyonothamnus floribundus	Lyontree
tree_atlas_dd83/l-o/lysilati.shp	lysilati	Lysiloma latisiliquum	Bahama lysiloma
tree_atlas_dd83/l-o/lysimicr.shp	lysimicr	Lysiloma microphylla	littleleaf lysiloma
tree_atlas_dd83/l-o/maclpomi.shp	maclpomi	Maclura pomifera	Osage orange
tree_atlas_dd83/l-o/magnacum.shp	magnacum	Magnolia acuminata	cucumbertree
tree_atlas_dd83/l-o/magnashe.shp	magnashe	Magnolia ashei	Ashe magnolia
tree_atlas_dd83/l-o/magnfras.shp	magnfras	Magnolia fraseri	Fraser magnolia
tree_atlas_dd83/l-o/magngran.shp	magngran	Magnolia grandiflora	southern magnolia
tree_atlas_dd83/l-o/magnmacr.shp	magnmacr	Magnolia macrophylla	bigleaf magnolia
tree_atlas_dd83/l-o/magnpyra.shp	magnpyra	Magnolia pyramidata	pyramid magnolia
tree_atlas_dd83/l-o/magntrip.shp	magntrip	Magnolia tripetala	umbrella magnolia
tree_atlas_dd83/l-o/magnvirg.shp	magnvirg	Magnolia virginiana	sweetbay
tree_atlas_dd83/l-o/maluangu.shp	maluangu	Malus angustifolia	southern crab apple
tree_atlas_dd83/l-o/malucoro.shp	malucoro	Malus coronaria	sweet crab apple
tree_atlas_dd83/l-o/maludive.shp	maludive	Malus diversifolia	Oregon crab apple
tree_atlas_dd83/l-o/maluioen.shp	maluioen	Malus ioensis	prairie crab apple
tree_atlas_dd83/l-o/manibaha.shp	manibaha	Manilkara bahamensis	wild dilly
tree_atlas_dd83/l-o/mastfoet.shp	mastfoet	Mastichodendron foetidissimum	false mastic
tree_atlas_dd83/l-o/maytphyl.shp	maytphyl	Maytenus phyllanthoides	Florida mayten
tree_atlas_dd83/l-o/metotoxi.shp	metotoxi	Metopium toxiferum	Florida poisontree
tree_atlas_dd83/l-o/morumicr.shp	morumicr	Morus microphylla	Texas mulberry
tree_atlas_dd83/l-o/morurubr.shp	morurubr	Morus rubra	red mulberry
tree_atlas_dd83/l-o/myrcfrag.shp	myrcfrag	Myrcianthes fragrans	twinberry stopper
tree_atlas_dd83/l-o/myricali.shp	myricali	Morella californica	Pacific bayberry
tree_atlas_dd83/l-o/myriceri.shp	myriceri	Morella cerifera	southern bayberry
tree_atlas_dd83/l-o/myrihete.shp	myrihete	Morella caroliniensis	evergreen bayberry
tree_atlas_dd83/l-o/myriinod.shp	myriinod	Morella inodora	odorless bayberry
tree_atlas_dd83/l-o/myripens.shp	myripens	Morella pensylvanica	northern bayberry
tree_atlas_dd83/l-o/nectcori.shp	nectcori	Nectandra coriacea	Florida nectandra
tree_atlas_dd83/l-o/nemocoll.shp	nemocoll	Ilex collina	mountain holly
tree_atlas_dd83/l-o/nolibige.shp	nolibige	Nolina bigelovii	Bigelow nolina
tree_atlas_dd83/l-o/nyssaqua.shp	nyssaqua	Nyssa aquatica	water tupelo
tree_atlas_dd83/l-o/nyssbifl.shp	nyssbifl	Nyssa biflora	swamp tupelo
tree_atlas_dd83/l-o/nyssogec.shp	nyssogec	Nyssa ogeche	Ogeechee tupelo
tree_atlas_dd83/l-o/nysssylv.shp	nysssylv	Nyssa sylvatica	black tupelo, blackgum
tree_atlas_dd83/l-o/olneteso.shp	olneteso	Olneya tesota	tesota
tree_atlas_dd83/l-o/opunfulg.shp	opunfulg	Opuntia fulgida	jumping cholla
tree_atlas_dd83/l-o/osmaamer.shp	osmaamer	Osmanthus americanus	devilwood
tree_atlas_dd83/l-o/ostrchis.shp	ostrchis	Ostrya chisosensis	Chisos hophornbean
tree_atlas_dd83/l-o/ostrknow.shp	ostrknow	Ostrya knowltonii	Knowlton hophornbeam
tree_atlas_dd83/l-o/ostrvirg.shp	ostrvirg	Ostrya virginiana	eastern hophornbeam
tree_atlas_dd83/l-o/oxydarbo.shp	oxydarbo	Oxydendrum arboreum	sourwood
tree_atlas_dd83/p/parkacul.shp	parkacul	Parkinsonia aculeata	Jerusalem thorn
tree_atlas_dd83/p/persborb.shp	persborb	Persea borbonia	redbay
tree_atlas_dd83/p/photarbu.shp	photarbu	Photinia arbutifolia	Christmas berry
tree_atlas_dd83/p/picebrew.shp	picebrew	Picea breweriana	Brewer spruce
tree_atlas_dd83/p/picechih.shp	picechih	Picea chihuahuana	chihuahua spruce
tree_atlas_dd83/p/piceenge.shp	piceenge	Picea engelmannii	Engelmann spruce
tree_atlas_dd83/p/piceglau.shp	piceglau	Picea glauca	white spruce
tree_atlas_dd83/p/picemari.shp	picemari	Picea mariana	black spruce
tree_atlas_dd83/p/picepung.shp	picepung	Picea pungens	blue spruce
tree_atlas_dd83/p/picerube.shp	picerube	Picea rubens	red spruce
tree_atlas_dd83/p/picesitc.shp	picesitc	Picea sitchensis	Sitka spruce
tree_atlas_dd83/p/picrpent.shp	picrpent	Picramnia pentandra	bitterbush
tree_atlas_dd83/p/pincpube.shp	pincpube	Pinckneya pubens	pinckneya
tree_atlas_dd83/pinus/pinualbi.shp	pinualbi	Pinus albicaulis	whitebark pine
tree_atlas_dd83/pinus/pinuaris.shp	pinuaris	Pinus aristata	bristlecone pine
tree_atlas_dd83/pinus/pinuatte.shp	pinuatte	Pinus attenuata	knobcone pine
tree_atlas_dd83/pinus/pinuayac.shp	pinuayac	Pinus ayacahuite	Mexican white pine
tree_atlas_dd83/pinus/pinubalf.shp	pinubalf	Pinus balfouriana	foxtail pine
tree_atlas_dd83/pinus/pinubank.shp	pinubank	Pinus banksiana	jack pine
tree_atlas_dd83/pinus/pinucari.shp	pinucari	Pinus caribaea	Caribbean pine
tree_atlas_dd83/pinus/pinucemb.shp	pinucemb	Pinus cembroides	Mexican pinyon
tree_atlas_dd83/pinus/pinuclau.shp	pinuclau	Pinus clausa	sand pine
tree_atlas_dd83/pinus/pinucont.shp	pinucont	Pinus contorta	lodgepole pine
tree_atlas_dd83/pinus/pinucoop.shp	pinucoop	Pinus cooperi	Cooper pine
tree_atlas_dd83/pinus/pinucoul.shp	pinucoul	Pinus coulteri	Coulter pine
tree_atlas_dd83/pinus/pinucube.shp	pinucube	Pinus cubensis	Cuban pine
tree_atlas_dd83/pinus/pinuculm.shp	pinuculm	Pinus culminicola	Potosi pinyon
tree_atlas_dd83/pinus/pinudoug.shp	pinudoug	Pinus douglasiana	Douglas pine
tree_atlas_dd83/pinus/pinudura.shp	pinudura	Pinus durangensis	Durango pine
tree_atlas_dd83/pinus/pinuechi.shp	pinuechi	Pinus echinata	shortleaf pine
tree_atlas_dd83/pinus/pinuedul.shp	pinuedul	Pinus edulis	pinyon
tree_atlas_dd83/pinus/pinuelli.shp	pinuelli	Pinus elliottii	slash pine
tree_atlas_dd83/pinus/pinuenge.shp	pinuenge	Pinus engelmannii	Apache pine
tree_atlas_dd83/pinus/pinuflex.shp	pinuflex	Pinus flexilis	limber pine
tree_atlas_dd83/pinus/pinuglab.shp	pinuglab	Pinus glabra	spruce pine
tree_atlas_dd83/pinus/pinugreg.shp	pinugreg	Pinus greggii	Gregg pine
tree_atlas_dd83/pinus/pinuhart.shp	pinuhart	Pinus hartwegii	Hartweg pine
tree_atlas_dd83/pinus/pinujeff.shp	pinujeff	Pinus jeffreyi	Jeffrey pine
tree_atlas_dd83/pinus/pinulamb.shp	pinulamb	Pinus lambertiana	sugar pine
tree_atlas_dd83/pinus/pinulaws.shp	pinulaws	Pinus lawsonii	Lawson pine
tree_atlas_dd83/pinus/pinuleio.shp	pinuleio	Pinus leiophylla	Chihuahua pine
tree_atlas_dd83/pinus/pinulong.shp	pinulong	Pinus longaeva	Intermountain bristlecone pine
tree_atlas_dd83/pinus/pinulumh.shp	pinulumh	Pinus lumholtzii	Lumholtz pine
tree_atlas_dd83/pinus/pinumaxi.shp	pinumaxi	Pinus maximartinezii	Martinez pinyon
tree_atlas_dd83/pinus/pinumich.shp	pinumich	Pinus michoacana	Michoacan pine
tree_atlas_dd83/pinus/pinumono.shp	pinumono	Pinus monophylla	singleleaf pinyon
tree_atlas_dd83/pinus/pinumont.shp	pinumont	Pinus monticola	western white pine
tree_atlas_dd83/pinus/pinumtez.shp	pinumtez	Pinus montezumae	Montezuma pine
tree_atlas_dd83/pinus/pinumuri.shp	pinumuri	Pinus muricata	bishop pine
tree_atlas_dd83/pinus/pinunels.shp	pinunels	Pinus nelsonii	Nelson pinyon
tree_atlas_dd83/pinus/pinuocci.shp	pinuocci	Pinus occidentalis	West Indian pine
tree_atlas_dd83/pinus/pinuooca.shp	pinuooca	Pinus oocarpa	Nicaraguan pitch pine; ocote pine
tree_atlas_dd83/pinus/pinupalu.shp	pinupalu	Pinus palustris	longleaf pine
tree_atlas_dd83/pinus/pinupatu.shp	pinupatu	Pinus patula	Mexican weeping pine
tree_atlas_dd83/pinus/pinupinc.shp	pinupinc	Pinus pinceana	Pince pinyon
tree_atlas_dd83/pinus/pinupond.shp	pinupond	Pinus ponderosa	ponderosa pine
tree_atlas_dd83/pinus/pinuprin.shp	pinuprin	Pinus pringlei	Pringle pine
tree_atlas_dd83/pinus/pinupseu.shp	pinupseu	Pinus pseudostrobus	False Weymouth pine
tree_atlas_dd83/pinus/pinupung.shp	pinupung	Pinus pungens	Table Mountain pine
tree_atlas_dd83/pinus/pinuquad.shp	pinuquad	Pinus quadrifolia	Parry pinyon
tree_atlas_dd83/pinus/pinuradi.shp	pinuradi	Pinus radiata	Monterey pine
tree_atlas_dd83/pinus/pinuresi.shp	pinuresi	Pinus resinosa	red pine
tree_atlas_dd83/pinus/pinurigi.shp	pinurigi	Pinus rigida	pitch pine
tree_atlas_dd83/pinus/pinusabi.shp	pinusabi	Pinus sabiniana	Digger pine
tree_atlas_dd83/pinus/pinusero.shp	pinusero	Pinus serotina	pond pine
tree_atlas_dd83/pinus/pinustrb.shp	pinustrb	Pinus strobus	eastern white pine
tree_atlas_dd83/pinus/pinustro.shp	pinustro	Pinus strobiformis	southwestern white pine
tree_atlas_dd83/pinus/pinutaed.shp	pinutaed	Pinus taeda	loblolly pine
tree_atlas_dd83/pinus/pinuteoc.shp	pinuteoc	Pinus teocote	Twisted leaves pine; Aztec pine
tree_atlas_dd83/pinus/pinutorr.shp	pinutorr	Pinus torreyana	Torrey pine
tree_atlas_dd83/pinus/pinutrop.shp	pinutrop	Pinus tropicalis	tropical pine
tree_atlas_dd83/pinus/pinuvirg.shp	pinuvirg	Pinus virginiana	Virginia pine
tree_atlas_dd83/pinus/pinuwash.shp	pinuwash	Pinus washoensis	Washoe pine
tree_atlas_dd83/p/piscpisc.shp	piscpisc	Piscidia piscipula	Florida fishpoison tree
tree_atlas_dd83/p/pisorotu.shp	pisorotu	Pisonia rotundata	pisonia
tree_atlas_dd83/p/pisttexa.shp	pisttexa	Pistacia texana	Texas pistache
tree_atlas_dd83/p/pithflex.shp	pithflex	Pithecellobium flexicaule	ebony blackbead
tree_atlas_dd83/p/pithguad.shp	pithguad	Pithecellobium guadalupense	Guadeloupe blackbead
tree_atlas_dd83/p/pithpall.shp	pithpall	Pithecellobium pallens	huajillo
tree_atlas_dd83/p/pithungu.shp	pithungu	Pithecellobium unguis-cati	catclaw blackbead
tree_atlas_dd83/p/planaqua.shp	planaqua	Planera aquatica	planertree
tree_atlas_dd83/p/platocci.shp	platocci	Platanus occidentalis	American sycamore
tree_atlas_dd83/p/platrace.shp	platrace	Platanus racemosa	California sycamore
tree_atlas_dd83/p/platwrig.shp	platwrig	Platanus wrightii	Arizona sycamore
tree_atlas_dd83/p/popuangu.shp	popuangu	Populus angustifolia	narrowleaf cottonwood
tree_atlas_dd83/p/popuariz.shp	popuariz	Populus arizonica	Arizona cottonwood
tree_atlas_dd83/p/popubals.shp	popubals	Populus balsamifera	balsam poplar
tree_atlas_dd83/p/popudelt.shp	popudelt	Populus deltoides	eastern cottonwood
tree_atlas_dd83/p/popufrem.shp	popufrem	Populus fremontii	Fremont cottonwood
tree_atlas_dd83/p/popugran.shp	popugran	Populus grandidentata	bigtooth aspen
tree_atlas_dd83/p/popuhete.shp	popuhete	Populus heterophylla	swamp cottonwood
tree_atlas_dd83/p/popuhinc.shp	popuhinc	Populus hinckleyana	Hinckley cottonwood
tree_atlas_dd83/p/poputrem.shp	poputrem	Populus tremuloides	quaking aspen
tree_atlas_dd83/p/poputric.shp	poputric	Populus trichocarpa	black cottonwood
tree_atlas_dd83/p/prosjuli.shp	prosjuli	Prosopis juliflora	mesquite
tree_atlas_dd83/p/prospube.shp	prospube	Prosopis pubescens	screwbean mesquite
tree_atlas_dd83/p/prunalle.shp	prunalle	Prunus alleghaniensis	Allegheny plum
tree_atlas_dd83/p/prunamer.shp	prunamer	Prunus americana	American plum
tree_atlas_dd83/p/prunangu.shp	prunangu	Prunus angustifolia	Chickasaw plum
tree_atlas_dd83/p/pruncaro.shp	pruncaro	Prunus caroliniana	Carolina laurelcherry
tree_atlas_dd83/p/prunemar.shp	prunemar	Prunus emarginata	bitter cherry
tree_atlas_dd83/p/prunfrem.shp	prunfrem	Prunus fremontii	desert apricot
tree_atlas_dd83/p/prunhort.shp	prunhort	Prunus hortulana	hortulan plum
tree_atlas_dd83/p/prunilic.shp	prunilic	Prunus ilicifolia	hollyleaf cherry
tree_atlas_dd83/p/prunlyon.shp	prunlyon	Prunus lyonii	Catalina cherry
tree_atlas_dd83/p/prunmexi.shp	prunmexi	Prunus mexicana	Mexican plum
tree_atlas_dd83/p/prunmuns.shp	prunmuns	Prunus munsoniana	wildgoose plum
tree_atlas_dd83/p/prunmyrt.shp	prunmyrt	Prunus myrtifolia	West Indies cherry
tree_atlas_dd83/p/prunnigr.shp	prunnigr	Prunus nigra	Canada plum
tree_atlas_dd83/p/prunpens.shp	prunpens	Prunus pensylvanica	pin cherry
tree_atlas_dd83/p/prunsero.shp	prunsero	Prunus serotina	black cherry
tree_atlas_dd83/p/prunsubc.shp	prunsubc	Prunus subcordata	Klamath plum
tree_atlas_dd83/p/prunumbe.shp	prunumbe	Prunus umbellata	flatwoods plum
tree_atlas_dd83/p/prunvirg.shp	prunvirg	Prunus virginiana	common chokecherry
tree_atlas_dd83/p/pseumacr.shp	pseumacr	Pseudotsuga macrocarpa	bigcone Douglas fir
tree_atlas_dd83/p/pseumenz.shp	pseumenz	Pseudotsuga menziesii	Douglas fir
tree_atlas_dd83/p/pseusarg.shp	pseusarg	Pseudophoenix sargentii	buccaneer palm
tree_atlas_dd83/p/psidlong.shp	psidlong	Psidium longipes	long stalk stopper
tree_atlas_dd83/p/ptelcren.shp	ptelcren	Ptelea crenulata	California hoptree
tree_atlas_dd83/p/pteltrif.shp	pteltrif	Ptelea trifoliata	common hoptree
tree_atlas_dd83/q/queragri.shp	queragri	Quercus agrifolia	California live oak
tree_atlas_dd83/q/querajoe.shp	querajoe	Quercus ajoensis	Ajo oak
tree_atlas_dd83/q/queralba.shp	queralba	Quercus alba	white oak
tree_atlas_dd83/q/querariz.shp	querariz	Quercus arizonica	Arizona white oak
tree_atlas_dd83/q/querarka.shp	querarka	Quercus arkansana	Arkansas oak
tree_atlas_dd83/q/querbico.shp	querbico	Quercus bicolor	swamp white oak
tree_atlas_dd83/q/querchap.shp	querchap	Quercus chapmanii	Chapman oak
tree_atlas_dd83/q/querchry.shp	querchry	Quercus chrysolepis	canyon live oak
tree_atlas_dd83/q/quercocc.shp	quercocc	Quercus coccinea	scarlet oak
tree_atlas_dd83/q/querdoug.shp	querdoug	Quercus douglasii	blue oak
tree_atlas_dd83/q/querdunn.shp	querdunn	Quercus dunnii	Dunn oak
tree_atlas_dd83/q/querdura.shp	querdura	Quercus durandii	Durand oak
tree_atlas_dd83/q/querelli.shp	querelli	Quercus ellipsoidalis	northern pin oak
tree_atlas_dd83/q/queremor.shp	queremor	Quercus emoryi	Emory oak
tree_atlas_dd83/q/querenge.shp	querenge	Quercus engelmannii	Engelmann oak
tree_atlas_dd83/q/querfalc.shp	querfalc	Quercus falcata	southern red oak
